,지수,GDP,고용,고용,고용,고용,소비,소비,소비,산업 및 생산,산업 및 생산,산업 및 생산,산업 및 생산,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,주택 및 건설,금융,금융,금융,금융,해외,해외,해외,부채 및 연준,부채 및 연준,부채 및 연준,부채 및 연준,금리
날짜,S&P 500 지수,실질 국내총생산,비농업 취업자 수,실업률,월별 시간당 임금,주당 실업수당 신청건수,소매판매,미시간 소비자 심리지수,개인 소득,산업생산,설비가동률,기업재고,ISM 제조업 PMI,주택 건설허가건수,Case-Shiller 주택가격지수,NAHB 주택시장지수,MBA 구매지수,MBA 재융자지수,장단기 금리 (10년-3개월),M2 통화승수,M2 통화속도,은행 지급준비금,수입,수출,순수출,가계부채/GDP,비금융 기업부채/GDP,정부부채/GDP,연준 자산/GDP,기준금리
2006년 01월,"1,280.08",3.21%,1.99%,4.7%,,295.75K,8.84%,91.2,7.73%,2.42%,80.71%,5.65%,55.1,3.41%,12.93%,,,,0.06%,8.37K,2.01,47.1,12.77%,12.36%,13.52%,91.53,41.57K,61.56%,6.1,4.29%
2006년 02월,"1,280.66",,2.03%,4.8%,,290.75K,6.67%,86.7,7.97%,1.72%,80.61%,5.23%,55.0,1.28%,12.09%,,,,-0.07%,8.39K,,44.6,,,,,,,,4.49%
2006년 03월,"1,294.87",,2.17%,4.7%,,301.75K,6.8%,88.9,7.96%,2.09%,80.66%,5.61%,55.8,2.72%,11.04%,,,,0.23%,8.36K,,42.7,,,,,,,,4.59%
2006년 04월,"1,310.61",2.97%,2.01%,4.7%,,303.60K,6.36%,87.4,7.85%,2.18%,80.77%,5.91%,54.3,-7.07%,9.97%,,,,0.30%,8.41K,2.02,44.7,12.57%,12.74%,12.28%,94.11,41.9K,61.22%,6.14,4.79%
2006년 05월,"1,270.09",,1.91%,4.6%,,332.75K,6.62%,79.1,7.52%,2.12%,80.65%,6.81%,55.2,-8.63%,8.75%,,,,0.26%,8.39K,,45.5,,,,,,,,4.94%
2006년 06월,"1,270.20",,1.78%,4.6%,,305.50K,4.03%,84.9,7.57%,1.98%,80.76%,7.84%,53.7,-14.28%,7.28%,,,,0.14%,8.43K,,45.1,,,,,,,,4.99%
2006년 07월,"1,276.66",2.33%,1.66%,4.7%,,318.80K,3.65%,84.7,7.23%,2.25%,80.56%,8.72%,52.0,-19.97%,6.04%,,,,-0.11%,8.49K,2,44.9,11.95%,13.29%,9.63%,96.46,41.86K,61.33%,6.07,5.24%
2006년 08월,"1,303.82",,1.63%,4.7%,,314.25K,5.27%,82.0,6.85%,2.37%,80.75%,9.13%,53.0,-22.40%,4.82%,,,,-0.31%,8.55K,,42.7,,,,,,,,5.25%
2006년 09월,"1,335.85",,1.69%,4.5%,,316.20K,4.35%,85.4,6.51%,4.22%,80.45%,9.02%,53.7,-26.87%,3.71%,,,,-0.25%,8.58K,,42.6,,,,,,,,5.25%
2006년 10월,"1,377.94",2.63%,1.64%,4.4%,,315.50K,4.24%,93.6,6.04%,2.85%,80.18%,8.56%,52.2,-27.65%,2.96%,,,,-0.47%,8.65K,1.99,41.7,5.27%,13.38%,-8.34%,98.37,42.37K,61.83%,6.07,5.25%
2006년 11월,"1,400.63",,1.53%,4.5%,,326.25K,3.65%,92.1,6.14%,1.66%,79.97%,8.23%,51.4,-30.79%,2.2%,,,,-0.57%,8.62K,,42.1,,,,,,,,5.25%
2006년 12월,"1,418.30",,1.55%,4.4%,,324.00K,4.85%,91.7,6.77%,2.17%,80.60%,7.35%,50.3,-22.74%,1.73%,,,,-0.31%,8.56K,,43.3,,,,,,,,5.24%
2007년 01월,"1,438.24",1.58%,1.51%,4.6%,,317.25K,1.75%,96.9,5.51%,1.66%,80.15%,6.75%,51.4,-26.49%,1.04%,,,,-0.29%,8.65K,1.99,44.6,5.1%,11.6%,-6.52%,95.15,42.77K,62.25%,6.09,5.25%
2007년 02월,"1,406.82",,1.35%,4.5%,,322.75K,2.74%,91.3,5.69%,2.58%,80.72%,6.94%,49.5,-25.36%,0.53%,,,,-0.60%,8.7K,,42.6,,,,,,,,5.26%
2007년 03월,"1,420.86",,1.28%,4.4%,3.39%,309.40K,3.17%,88.4,5.81%,2.53%,80.69%,6.17%,51.9,-24.65%,-0.31%,,,,-0.39%,8.73K,,40.7,,,,,,,,5.26%
2007년 04월,"1,482.37",1.93%,1.20%,4.5%,3.07%,320.25K,2.43%,87.1,5.69%,2.91%,81.07%,5.98%,50.7,-26.43%,-0.83%,,,,-0.28%,8.8K,1.98,42.5,5.09%,11.17%,-6.07%,97.22,43.59K,61.57%,6.11,5.25%
2007년 05월,"1,530.62",,1.28%,4.4%,3.53%,304.25K,4.07%,88.3,5.84%,2.98%,81.00%,5.49%,52.6,-21.63%,-1.35%,,,,0.17%,8.79K,,44.1,,,,,,,,5.25%
2007년 06월,"1,503.35",,1.27%,4.6%,3.61%,315.20K,2.69%,85.3,5.64%,2.71%,80.92%,5.18%,52.5,-24.64%,-1.63%,,,,0.21%,8.81K,,43.9,,,,,,,,5.25%
2007년 07월,"1,455.27",2.37%,1.11%,4.7%,3.2%,313.25K,2.8%,90.4,5.60%,2.64%,80.73%,4.78%,52.6,-22.80%,-1.96%,,,,-0.18%,8.83K,1.98,42.9,5.04%,14.25%,-11.46%,98.85,44.52K,61.85%,5.93,5.26%
2007년 08월,"1,473.99",,0.97%,4.6%,3.35%,320.00K,2.94%,83.4,5.43%,2.39%,80.81%,4.4%,52.8,-23.29%,-2.26%,,,,0.53%,8.91K,,44.9,,,,,,,,5.02%
2007년 09월,"1,526.75",,0.93%,4.7%,3.14%,313.40K,3.97%,83.4,5.64%,2.79%,80.94%,4.69%,50.9,-23.81%,-2.76%,,,,0.77%,8.96K,,42.7,,,,,,,,4.94%
2007년 10월,"1,549.38",2.13%,0.97%,4.7%,3.13%,328.25K,4.64%,80.9,5.51%,2.62%,80.68%,4.58%,51.0,-24.08%,-3.54%,,,,0.54%,8.96K,1.97,42.1,9.31%,14.31%,-1.08%,100.21,45.13K,62.72%,6,4.76%
2007년 11월,"1,481.14",,0.90%,4.7%,3.07%,336.00K,5.3%,76.1,5.43%,3.21%,81.11%,4.93%,51.1,-20.26%,-4.61%,,,,0.82%,8.93K,,42.6,,,,,,,,4.49%
2007년 12월,"1,468.36",,0.83%,5.0%,2.82%,348.20K,2.86%,75.5,5.14%,2.20%,81.14%,5.61%,50.1,-29.85%,-7.7,19,,,0.68%,8.94K,,43.5,,,,,,,,4.24%
2008년 01월,"1,378.55",1.39%,0.67%,5.0%,2.91%,338.75K,3.25%,78.4,4.99%,2.41%,81.05%,6.24%,50.9,-32.72%,-9,20,,,1.71%,9.05K,1.94,44.9,11.54%,14.91%,4.33%,99.11,46.01K,64.17%,6.12,3.94%
2008년 02월,"1,330.63",,0.56%,4.9%,2.85%,346.75K,2.13%,70.8,4.52%,1.06%,80.76%,6.23%,48.8,-36.55%,-10.7,20,,,1.68%,9.17K,,43.8,,,,,,,,2.98%
2008년 03월,"1,322.70",,0.34%,5.1%,3.09%,363.40K,1.6%,69.5,4.17%,0.57%,80.54%,6.14%,49.7,-39.41%,-12.7,20,,,2.07%,9.21K,,43.8,,,,,,,,2.61%
2008년 04월,"1,385.59",1.38%,0.14%,5.0%,2.84%,359.50K,1.74%,62.6,3.66%,-0.74%,80.04%,5.93%,48.5,-31.43%,-14.3,19,,,2.34%,9.29K,1.92,45,13.22%,17.41%,4.1%,98.78,46.32K,63.85%,5.97,2.28%
2008년 05월,"1,400.38",,-0.10%,5.4%,3.02%,366.80K,1.42%,59.8,8.15%,-1.44%,79.56%,5.54%,48.9,-33.36%,-15.2,18,,,2.17%,9.26K,,46.9,,,,,,,,1.98%
2008년 06월,"1,280.00",,-0.27%,5.6%,2.72%,383.25K,2.41%,56.4,6.13%,-1.72%,79.36%,5.71%,49.9,-16.13%,-15.8,16,,,2.09%,9.22K,,45.8,,,,,,,,2.00%
2008년 07월,"1,267.38",0.27%,-0.40%,5.8%,3.15%,398.00K,1.61%,61.2,4.68%,-1.96%,79.03%,6.12%,50.8,-32.33%,-15.9,16,,,2.31%,9.2K,1.9,46,12.21%,14.03%,8.01%,99.71,46.69K,67.28%,6.17,2.01%
2008년 08월,"1,282.83",,-0.58%,6.1%,3.33%,433.00K,0.26%,63.0,3.87%,-3.68%,77.73%,6.04%,50.1,-35.05%,-16.3,17,,,2.11%,9.21K,,45.8,,,,,,,,2.00%
2008년 09월,"1,166.36",,-0.97%,6.1%,3.28%,464.00K,-1.69%,70.3,3.49%,-8.13%,74.22%,4.61%,47.2,-36.80%,-16.6,14,,,2.93%,8.65K,,102.9,,,,,,,,1.81%
2008년 10월,968.75,-2.54%,-1.36%,6.5%,3.32%,475.25K,-5.77%,57.6,3.32%,-6.95%,74.87%,3.32%,38.2,-38.26%,-17.4,9,,,3.55%,7.02K,1.81,314.8,-6.11%,-2.88%,-13.87%,97.85,47.36K,73.25%,13.48,0.97%
2008년 11월,896.24,,-1.99%,6.8%,3.5%,519.80K,-10.32%,55.3,2.35%,-8.67%,73.78%,1.54%,39,-48.86%,-18.1,9,,,2.92%,5.57K,,609.1,,,,,,,,0.39%
2008년 12월,903.25,,-2.56%,7.3%,3.73%,564.00K,-11.4%,60.1,0.46%,-11.28%,71.61%,-1.51%,34.5,-51.78%,-18.2,8,-33.1,-19.25,2.14%,4.92K,,820.9,,,,,,,,0.16%
2009년 01월,825.88,-3.23%,-3.12%,7.8%,3.63%,572.00K,-10.23%,61.2,-0.84%,-13.37%,69.73%,-3.46%,36.4,-50.18%,-18.6,9,-30.07,47.14,2.63%,4.84K,1.73,860.2,-25.22%,-16.63%,-45.41%,99.21,47.56K,77.1%,13.35,0.15%
2009년 02월,735.09,,-3.62%,8.3%,3.34%,644.00K,-9.82%,56.3,-2.10%,-13.56%,69.23%,-5.32%,36.6,-44.97%,-19,9,-26.63,172.49,2.76%,5.33K,,701,,,,,,,,0.22%
2009년 03월,797.87,,-4.17%,8.7%,3.23%,659.25K,-11.65%,57.3,-2.84%,-14.66%,68.09%,-6.74%,37.2,-46.95%,-18.7,14,-26.02,168.12,2.50%,5.09K,,778.1,,,,,,,,0.18%
2009년 04월,872.81,-3.98%,-4.50%,9.0%,3.37%,627.75K,-11.1%,65.1,-2.38%,-14.81%,67.48%,-8.38%,39.9,-48.31%,-18.7,16,-27.25,93.22,3.02%,4.79K,1.71,881.7,-29.91%,-20.16%,-53.84%,99.03,47.26K,80.28%,14.37,0.15%
2009년 05월,919.14,,-4.63%,9.4%,3.03%,612.00K,-11.2%,68.7,-5.43%,-15.16%,66.77%,-9.55%,44.1,-44.12%,-18.1,15,,,3.33%,4.76K,,902.8,,,,,,,,0.18%
2009년 06월,919.32,,-4.86%,9.5%,2.88%,598.25K,-9.95%,70.8,-4.88%,-15.28%,66.51%,-11.28%,46.3,-49.07%,-17,17,,,3.34%,5.02K,,809.7,,,,,,,,0.21%
2009년 07월,987.48,-3.13%,-4.97%,9.5%,2.69%,566.50K,-9.23%,66.0,-4.13%,-14.02%,67.29%,-12.86%,49.7,-35.40%,-15.4,18,-11.24,115.17,3.34%,5.06K,1.71,796.5,-25.5%,-17.04%,-46.15%,99,46.03K,82.43%,13.85,0.16%
2009년 08월,"1,020.62",,-4.91%,9.6%,2.44%,559.20K,-6.86%,65.7,-3.34%,-11.69%,68.08%,-14.15%,53.4,-28.21%,-13.2,19,-20.98,39.83,3.25%,4.95K,,828.7,,,,,,,,0.16%
2009년 09월,"1,057.08",,-4.76%,9.8%,2.49%,547.50K,-7.8%,73.5,-3.08%,-6.81%,68.75%,-13.98%,54.9,-23.59%,-11.3,17,-15.9,57.95,3.17%,4.7K,,922.6,,,,,,,,0.15%
2009년 10월,"1,036.19",0.11%,-4.57%,10.0%,2.53%,525.40K,-3.33%,70.6,-3.03%,-7.47%,69.04%,-12.6%,57.6,-20.79%,-9.3,17,-14.72,124.78,3.36%,4.38K,1.72,1.06K,-6.53%,0.19%,-24.7%,98.96,44.21K,84.03%,14.75,0.12%
2009년 11월,"1,095.63",,-4.05%,9.9%,2.2%,494.00K,1.45%,67.4,-2.08%,-5.83%,69.45%,-10.98%,55.4,-0.48%,-7.3,16,-33.53,-57.08,3.15%,4.21K,,1.14K,,,,,,,,0.12%
2009년 12월,"1,115.10",,-3.74%,9.9%,1.91%,485.50K,4.3%,72.5,-0.41%,-2.70%,69.85%,-9.18%,55.8,19.86%,-5.4,15,-26.74,-33,3.79%,4.2K,,1.14K,,,,,,,,0.12%
2010년 01월,"1,073.87",1.75%,-3.19%,9.8%,2%,479.80K,2.82%,74.4,1.17%,0.87%,70.75%,-7.9%,56.3,16.70%,-3.1,17,-21.44,-27.99,3.55%,4.25K,1.74,1.11K,17.4%,16.41%,20.95%,94.5,43.73K,86.51%,15.22,0.11%
2010년 02월,"1,104.49",,-2.71%,9.8%,2.18%,485.75K,3.41%,73.6,2.17%,1.87%,71.16%,-5.93%,55.5,16.49%,-0.7,15,-9.26,-57.45,3.48%,4.03K,,1.23K,,,,,,,,0.13%
2010년 03월,"1,169.43",,-1.98%,9.9%,1.86%,470.25K,7.54%,73.6,3.06%,4.20%,71.80%,-4.11%,58.8,33.92%,0.7,19,2.5,-57.68,3.68%,4.1K,,1.18K,,,,,,,,0.16%
2010년 04월,"1,186.69",2.91%,-1.29%,9.9%,1.76%,469.00K,7.88%,72.2,3.60%,5.43%,72.19%,-2.45%,58.1,22.26%,2.3,22,-27.63,-16.27,3.53%,4.25K,1.74,1.12K,25.69%,19.63%,51.38%,94.08,42.7K,88.13%,15.56,0.20%
2010년 05월,"1,089.41",,-0.63%,9.6%,1.76%,459.40K,6.07%,73.6,2.99%,7.94%,73.31%,-1.06%,57.4,3.42%,3.8,16,-36.53,51.61,3.15%,4.28K,,1.11K,,,,,,,,0.20%
2010년 06월,"1,030.71",,-0.38%,9.4%,1.76%,460.50K,4.3%,76.0,4.22%,8.55%,73.59%,0.96%,56.5,-2.33%,4.6,14,-33.42,94.99,2.79%,4.31K,,1.1K,,,,,,,,0.18%
2010년 07월,"1,101.60",3.34%,-0.19%,9.4%,1.85%,459.20K,4.18%,67.8,4.92%,7.75%,74.00%,3.09%,56.1,-2.69%,4.2,13,-39.19,121.39,2.79%,4.33K,1.74,1.09K,20.43%,17.72%,30.65%,93.59,42.54K,89.57%,15.36,0.18%
2010년 08월,"1,049.33",,-0.04%,9.5%,1.75%,475.00K,2.83%,68.9,5.34%,6.97%,74.39%,5.32%,56.4,-5.84%,3.2,13,-32.77,50.08,2.33%,4.36K,,1.09K,,,,,,,,0.19%
2010년 09월,"1,141.20",,0.07%,9.5%,1.8%,453.50K,6.4%,68.2,5.08%,6.35%,74.71%,6.97%,55.3,-7.55%,1.6,15,-30.8,96.65,2.37%,4.45K,,1.05K,,,,,,,,0.19%
2010년 10월,"1,183.26",2.78%,0.43%,9.4%,1.88%,446.80K,6.46%,67.7,5.42%,5.76%,74.58%,7.57%,56.9,-4.29%,0.4,16,-8.11,34.59,2.51%,4.47K,1.74,1.04K,14.65%,15.77%,10.64%,93.49,41.64K,91.61%,14.99,0.19%
2010년 11월,"1,180.55",,0.53%,9.8%,1.75%,426.25K,6.56%,71.6,5.24%,5.40%,74.71%,7.58%,57.3,-10.11%,-0.9,16,-5.58,-29.52,2.64%,4.45K,,1.04K,,,,,,,,0.19%
2010년 12월,"1,257.64",,0.79%,9.3%,1.74%,420.25K,6.86%,74.5,5.62%,6.00%,75.50%,9%,56.6,-4.82%,-1.6,16,-18.46,-10.93,3.18%,4.37K,,1.08K,,,,,,,,0.18%
2011년 01월,"1,286.12",2.04%,0.80%,9.1%,2.1%,426.80K,7.46%,74.2,6.63%,4.63%,75.37%,9.69%,59.1,-9.43%,-2.4,16,-15.7,-26.07,3.27%,4.32K,1.72,1.11K,14.98%,15.94%,11.64%,90.03,41.7K,92.96%,15.92,0.17%
2011년 02월,"1,327.22",,1.04%,9.0%,1.83%,401.50K,8.21%,77.5,7.24%,3.83%,75.09%,9.73%,59.2,-16.62%,-3.1,17,-21.89,-21.08,3.27%,4.03K,,1.26K,,,,,,,,0.16%
2011년 03월,"1,325.83",,1.09%,9.0%,1.83%,406.00K,6.86%,67.5,6.87%,4.19%,75.87%,10.47%,58.4,-15.14%,-3.5,16,-17.88,-13.41,3.38%,3.75K,,1.43K,,,,,,,,0.14%
2011년 04월,"1,363.61",1.74%,1.14%,9.1%,1.87%,420.60K,6.56%,69.8,6.20%,3.51%,75.61%,11.06%,57.9,-8.79%,-4,16,6.62,-23.29,3.28%,3.62K,1.71,1.53K,14.18%,16.29%,7.11%,89.74,41.81K,92.19%,17.3,0.10%
2011년 05월,"1,345.20",,0.81%,9.0%,2.04%,422.50K,7.39%,74.3,5.54%,2.25%,75.67%,12.06%,54.8,7.48%,-4.2,13,8.88,-19.16,2.99%,3.55K,,1.59K,,,,,,,,0.09%
2011년 06월,"1,320.64",,1.09%,9.1%,2.09%,418.25K,8.39%,71.5,5.94%,2.37%,75.84%,11.71%,55.8,8.35%,-4.5,15,12.13,-34.39,3.15%,3.47K,,1.67K,,,,,,,,0.09%
2011년 07월,"1,292.28",0.94%,1.21%,9.0%,2.3%,412.60K,8.01%,63.7,6.25%,2.48%,76.14%,11.26%,52.9,7.25%,-4.4,15,4.34,-22.11,2.72%,3.48K,1.65,1.7K,12.04%,14.89%,2.38%,89.68,42.2K,94.52%,18.3,0.07%
2011년 08월,"1,218.89",,1.31%,9.0%,1.95%,409.50K,7.64%,55.8,5.91%,2.80%,76.57%,10.83%,52.6,11.55%,-4,14,-2.86,-1.14,2.21%,3.59K,,1.67K,,,,,,,,0.10%
2011년 09월,"1,131.42",,1.54%,9.0%,1.94%,417.75K,7.91%,59.5,5.75%,2.41%,76.40%,9.26%,53.7,8.35%,-3.7,17,-2.66,-23.33,1.90%,3.62K,,1.64K,,,,,,,,0.08%
2011년 10월,"1,253.30",1.54%,1.48%,8.8%,1.98%,402.40K,7.3%,60.8,5.37%,3.42%,76.81%,8.98%,51.4,20.25%,-3.6,19,-6.29,-25.28,2.16%,3.63K,1.64,1.64K,10.27%,9.03%,14.94%,89.62,42.38K,96.09%,17.96,0.07%
2011년 11월,"1,246.96",,1.48%,8.6%,2.02%,389.25K,6.67%,63.7,5.12%,3.32%,76.68%,8.64%,51.8,26.07%,-3.6,21,-9.83,72.65,2.07%,3.7K,,1.59K,,,,,,,,0.08%
2011년 12월,"1,257.60",,1.57%,8.5%,2.02%,377.00K,6.08%,69.9,5.25%,2.86%,76.95%,8.06%,53,10.28%,-3.9,25,5.12,111.86,1.87%,3.7K,,1.6K,,,,,,,,0.07%
2012년 01월,"1,312.41",2.64%,1.84%,8.3%,1.71%,377.75K,6.35%,75.0,4.21%,3.69%,77.27%,7.65%,54.2,23.61%,-4.1,28,5.55,119.39,1.77%,3.69K,1.64,1.62K,7.03%,7.33%,5.94%,85.66,42.07K,97.12%,18.17,0.08%
2012년 02월,"1,365.68",,1.87%,8.3%,1.79%,363.25K,6.76%,75.3,4.37%,4.44%,77.37%,7.83%,53.3,36.16%,-4,28,0.42,60.9,1.90%,3.64K,,1.66K,,,,,,,,0.10%
2012년 03월,"1,408.47",,1.88%,8.2%,2.14%,366.60K,6.18%,76.2,4.71%,2.83%,76.82%,6.99%,53.5,38.25%,-3.6,24,-12.46,98.46,2.16%,3.71K,,1.61K,,,,,,,,0.13%
2012년 04월,"1,397.91",2.40%,1.69%,8.2%,2.1%,381.75K,5.16%,76.4,4.96%,3.90%,77.22%,6.61%,55.2,25.99%,-2.6,28,-6.26,75.65,1.85%,3.75K,1.63,1.59K,3.1%,4.7%,-2.73%,85.49,42.14K,97.83%,17.69,0.14%
2012년 05월,"1,310.33",,1.69%,8.2%,1.92%,373.50K,5.07%,79.3,4.62%,4.02%,77.25%,5.61%,53.2,28.80%,-1.8,29,-4.28,90.4,1.52%,3.8K,,1.56K,,,,,,,,0.16%
2012년 06월,"1,362.16",,1.58%,8.2%,2%,379.20K,3.28%,73.2,4.07%,3.71%,77.11%,5.56%,49.5,24.84%,-0.5,35,-3.62,110.53,1.58%,3.83K,,1.56K,,,,,,,,0.16%
2012년 07월,"1,379.32",2.57%,1.64%,8.2%,1.64%,372.50K,3.79%,72.3,2.82%,3.42%,77.14%,5.92%,49.6,36.71%,0.6,37,1.12,12.85,1.40%,3.8K,1.61,1.58K,0.99%,3.29%,-7.76%,85.54,42.68K,98.45%,17.44,0.16%
2012년 08월,"1,406.58",,1.68%,8.1%,1.82%,373.25K,4.97%,74.3,2.75%,2.29%,76.67%,5.81%,49,29.83%,1.2,40,5.89,16.08,1.48%,3.83K,,1.58K,,,,,,,,0.13%
